ARama
Aacha
Aada
Aalandia
Aara
Aarassus
Aarburgum
Aaronis
Aasar
Aba
Abaca
Abacares
Abacena
Abacivocilla
Abacoa
Abacum
Abacænum
Abad
Abadan
Abag
Abaibæ
Abakarer
Abakoe
Aballaba
Aballo
Aballon
Aballonia
Abana
Abanbe
Abanbus
Abancajus
Abane
Abanebad
Abanhus
Abankai
Abanke
Abanter
Abantes
Abantis
Abanvivar
Abanvivar-grefskab
Abanvivargrefskab
Abanvivariensis
Abanvivarium
Abaranum
Abaraum
Abaraus
Abare
Abares
Abarim
Abarinus
Abarum
Abarân
Abasci
Abascia
Abascus
Abask
Abasker
Abaskie
Abaskien
Abassi
Abassia
Abassium
Abay
Abbadanum
Abbassiopolis
Abbatia
Abbatis
Abbatiæ
Abbedi
Abbekûr
Abbeville
Abdara
Abdera
Abdere
Abdiara
Abdiare
Abdiare-Rige
Abdiarerige
Abdiaræ
Abditana
Abebierg
Abediacum
Abeiber
Abeks
Abel
Abela
Abella
Abellaba
Abelle
Abellina
Abelline
Abellinum
Abenou
Abensbierg
Abenst
Aberafon
Aberavonium
Abercovonium
Aberdon
Aberdonia
Aberdor
Aberdura
Aberfru
Abergennium
Abergên
Aberistivit
Aberkonf
Abernet
Abernætum
Aberristivium
Abessinia
Abet
Abexia
Abhorrere
Abhortere
Abia
Abiagras
Abiatum
Abicurenus
Abie
Abikûr
Abila
Abile
Abindonia
Abington
Abingtonia
Abiolica
Abisca
Abiske
Abissinien
Abissinier
Ablabona
Ablatum
Ablay
Ablaya
Ablon
Ablonium
Abnaker
Abnaquii
Abnoba
Abo
Aboa
Abobrica
Abodiacus
Aboensis
Abone
Aboni
Abonis
Aboniteichos
Aboniteicos
Aboriginer
Aborigines
Aboy
Aboya
Abraconium
Abrakon
Abrante
Abrantus
Abria
Abrinca
Abrincatni
Abrincatuorum
Abrincensis
Abrincæ
Abrojer
Abroler
Abrukban
Abruntium
Abrussien
Abrussier
Absi
Absia
Abudiacum
Abuja
Abula
Abulenses
Abus
Abusiacum
Abusina
Abutig
Abyde
Abydena
Abydus
Abyje
Abyla
Abyle
Abyse
Abæa
Academio
Acadina
Acalandra
Acalandrus
Acamas
Acana
Acanthina
Acanthus
Acaponete
Acapulcum
Acaraga
Acaxium
Acaxutla
Accadia
Accara
Accaron
Accaræ
Acci
Accia
Accipitrum
Accitum
Acedum
Aceldama
Acelum
Acenum
Acer
Acernum
Acerris
Acerræ
Acesines
Acesta
Acha
Achachica
Achada
Achaia
Achaja
Achana
Achara
Achasib
Achates
Achelons
Achelous
Achemum
Acheorum
Acheron
Acherontia
Acherus
Acherusia
Acheræ
Achilia
Achillea
Achillis
Achillæum
Achirum
Achsteda
Achæorum
Aciaponda
Acila
Acilia
Acincum
Aciris
Acis
Acithius
Acitodunum
Aclara
Aclea
Acmonia
Acoma
Acon
Acona
Acone
Acores
Acra
Acrabina
Acrath
Acritas
Acritos
Acroathos
Acrocerannium
Acroceraunea
Acroceraunia
Acronius
Acropolis
Acropolitanus
Acrææ
Acsa
Actania
Actium
Acula
Acumincum
Acumulum
Acunum
Acus
Acusio
Acutum
Acutus
Acuum
Aczudia
Adachsunia
Adagsun
Adama
Adame
Adami
Adams-Bierg
Adams-ø
Adamsbierg
Adamsø
Adana
Adaouer
Adaovi
Adar
Adara
Adde
Addua
Adea
Adeda
Adel
Adel-Rige
Adela
Adelbierg
Adelrige
Adelum
Aden
Adende
Adendum
Adene
Adenum
Aderbigiana
Aderborg
Aderborn
Aderborna
Aderburgum
